w,x,y,motor1,motor2
1000.0,0.35,0.35,-0.45,0.55
1000.0,0.36,0.35,-0.706853850706,0.342047279233
1000.0,0.37,0.35,-0.871260844215,0.207282629819
1000.0,0.38,0.35,-0.949254315695,0.142683285857
1000.0,0.39,0.35,-0.980934617425,0.116187588959
1000.0,0.4,0.35,-0.992972506486,0.106023565816
1000.0,0.41,0.35,-0.997428471802,0.102225360795
1000.0,0.42,0.35,-0.999061616985,0.100819945928
1000.0,0.43,0.35,-0.999657942174,0.100301814652
1000.0,0.44,0.35,-0.999875369768,0.100111053715
1000.0,0.45,0.35,-0.999954597772,0.100040854044
1000.0,0.46,0.35,-0.999983454153,0.100015020026
1000.0,0.47,0.35,-0.999993948196,0.100005498894
1000.0,0.48,0.35,-0.999997725542,0.100001950182
1000.0,0.49,0.35,-0.999998981215,0.1000005196
1000.0,0.5,0.35,-0.999999115689,0.099999653363
1000.0,0.51,0.35,-0.999998295773,0.099998410628
1000.0,0.52,0.35,-0.999995658323,0.0999954416371
1000.0,0.53,0.35,-0.999988402534,0.0999875217467
1000.0,0.54,0.35,-0.999968817403,0.0999660493512
1000.0,0.55,0.35,-0.999916092926,0.0999077061137
1000.0,0.56,0.35,-0.999774235183,0.099749151635
1000.0,0.57,0.35,-0.999392746579,0.0993183895442
1000.0,0.58,0.35,-0.998367896539,0.098149161217
1000.0,0.59,0.35,-0.995621878384,0.0949834023864
1000.0,0.6,0.35,-0.988314570716,0.0864695029605
1000.0,0.61,0.35,-0.969220613081,0.0639815685088
1000.0,0.62,0.35,-0.92163226738,0.00730698292588
1000.0,0.63,0.35,-0.815918760505,-0.120097134177
1000.0,0.64,0.35,-0.631684222203,-0.34521687426
1000.0,0.65,0.35,-0.415979766683,-0.613802507388
1000.0,0.35,0.36,-0.195835563507,0.755263306553
1000.0,0.36,0.36,-0.454999999999,0.544999999999
1000.0,0.37,0.36,-0.709543264915,0.334736693445
1000.0,0.38,0.36,-0.87245287341,0.198474659044
1000.0,0.39,0.36,-0.949728574327,0.13315754463
1000.0,0.4,0.36,-0.98111447921,0.106367451207
1000.0,0.41,0.36,-0.993039434191,0.0960904946883
1000.0,0.42,0.36,-0.997453196289,0.0922500876401
1000.0,0.43,0.36,-0.999070724117,0.0908290569301
1000.0,0.44,0.36,-0.999661289334,0.0903051669958
1000.0,0.45,0.36,-0.99987659096,0.0901122805737
1000.0,0.46,0.36,-0.999955022673,0.0900412839077
1000.0,0.47,0.36,-0.999983547939,0.0900151167551
1000.0,0.48,0.36,-0.999993816337,0.0900053655741
1000.0,0.49,0.36,-0.999997230012,0.0900014410117
1000.0,0.5,0.36,-0.999997595576,0.0899990811926
1000.0,0.51,0.36,-0.99999536636,0.0899957234906
1000.0,0.52,0.36,-0.99998819614,0.0899877217408
1000.0,0.53,0.36,-0.999968472126,0.0899663868313
