m1,m2,dm1,dm2,v1,v2,a1,a2
0.0,0.0,0.388378507589,0.140258822056,6.93728132757e-52,-5.04022991321e-52,7.43227050565e-52,1.0229642752e-51
0.01,0.0,0.384923592561,0.135503539475,3.20307829444e-50,-2.32717260144e-50,3.3726038621e-50,4.64199098071e-50
0.02,0.0,0.381468677533,0.130748256893,1.21084040805e-48,-8.79727051074e-49,1.25261393415e-48,1.72407517229e-48
0.03,0.0,0.378013762505,0.125992974312,3.74754935049e-47,-2.72275397893e-47,3.80778521032e-47,5.24096672053e-47
0.04,0.0,0.374558847477,0.12123769173,9.49617958725e-46,-6.89937832371e-46,9.47383684813e-46,1.30396177553e-45
0.05,0.0,0.371103932449,0.116482409149,1.97011501681e-44,-1.43137234477e-44,1.9291779438e-44,2.65528564322e-44
0.06,0.0,0.367649017421,0.111727126567,3.34638070224e-43,-2.43128789507e-43,3.21518504226e-43,4.42532256314e-43
0.07,0.0,0.364194102391,0.106971843987,4.6537196456e-42,-3.38112523589e-42,4.38551901628e-42,6.03614908594e-42
0.08,0.0,0.36073918729,0.102216561428,5.29866166964e-41,-3.84970304175e-41,4.89565781926e-41,6.73829491358e-41
0.09,0.0,0.357284269253,0.0974612799503,4.9393895582e-40,-3.58867646746e-40,4.4726967278e-40,6.15613900465e-40
0.1,0.0,0.353829229818,0.0927060491398,3.76983209062e-39,-2.73893980133e-39,3.34417567626e-39,4.60286594999e-39
0.11,0.0,0.350369174917,0.0879531740261,2.35577912921e-38,-1.71147977345e-38,2.04626746785e-38,2.8165255313e-38
0.12,0.0,0.346702477404,0.0833088188102,1.20796305475e-37,-8.75592753058e-38,1.02466372719e-37,1.41206858513e-37
0.13,0.0,0.335162066069,0.0832650333258,5.54893420876e-37,-3.66752978477e-37,4.19891812635e-37,6.08920971729e-37
0.14,0.0,0.25628479357,0.127571144011,9.03687348527e-36,-1.25772659485e-36,1.40806074243e-36,6.45691219608e-36
0.15,0.0,0.232479623124,0.142844673815,8.77075346682e-34,-3.53134332421e-36,3.86387923375e-36,5.44815240323e-34
0.16,0.0,0.231779158921,0.143340982023,8.52667103242e-32,-8.11773265781e-36,8.67627703093e-36,5.27456361304e-32
0.17,0.0,0.23176311868,0.143353486625,6.82282365702e-30,-1.5278145799e-35,1.59418889263e-35,4.2201770138e-30
0.18,0.0,0.231762754241,0.143353798443,4.4703770608e-28,-2.35422334149e-35,2.39679346451e-35,2.76509322284e-28
0.19,0.0,0.231762745973,0.143353806192,2.39809589201e-26,-2.97006433087e-35,2.94844478342e-35,1.4833107599e-26
0.2,0.0,0.231762745786,0.143353806384,1.05324660516e-24,-3.06781071417e-35,2.96766385502e-35,6.51471872286e-25
0.21,0.0,0.231762745781,0.143353806389,3.78734349233e-23,-2.59523767678e-35,2.44430756777e-35,2.3426116389e-23
0.22,0.0,0.231762745781,0.143353806389,1.1150142711e-21,-1.82295630155e-35,1.65986124099e-35,6.89677451835e-22
0.23,0.0,0.231762745781,0.143353806389,2.68761626313e-20,-1.66196807861e-35,1.22939498926e-35,1.66238978631e-20
0.24,0.0,0.231762745781,0.143353806389,5.30389842687e-19,-1.31763234327e-34,6.76108410047e-35,3.28065680112e-19
0.25,0.0,0.231762745781,0.143353806389,8.56967279504e-18,-2.05437927898e-33,1.02780117395e-33,5.30065869965e-18
0.26,0.0,0.231762745781,0.143353806389,1.13363797443e-16,-2.71531317864e-32,1.35767419758e-32,7.01196899246e-17
0.27,0.0,0.231762745781,0.143353806389,1.22779436071e-15,-2.94077942455e-31,1.47039012469e-31,7.59436096937e-16
0.28,0.0,0.231762745781,0.143353806389,1.08872447674e-14,-2.60768181537e-30,1.30384091553e-30,6.73416244376e-15
0.29,0.0,0.231762745781,0.143353806389,7.90408210666e-14,-1.89316318205e-29,9.46581591148e-30,4.88896630986e-14
0.3,0.0,0.231762745781,0.143353806389,4.69814052556e-13,-1.1252852064e-28,5.62642603201e-29,2.90597319695e-13
0.31,0.0,0.231762745781,0.143353806389,2.28634448361e-12,-5.47618703639e-28,2.7380935182e-28,1.41418839054e-12
0.32,0.0,0.231762745781,0.143353806389,9.10958165713e-12,-2.18190099241e-27,1.0909504962e-27,5.63461224436e-12
0.33,0.0,0.231762745781,0.143353806389,2.97164074029e-11,-7.1175890665e-27,4.44849316656e-27,1.83806940113e-11
0.34,0.0,0.231762745781,0.143353806389,7.93661435101e-11,-1.90095521184e-26,1.1880970074e-26,4.90908870287e-11
0.35,0.0,0.231762745781,0.143353806389,1.73546298711e-10,-4.15673140258e-26,2.59795712661e-26,1.07344786675e-10
0.36,0.0,0.231762745781,0.143353806389,3.10696626016e-10,-7.44171688841e-26,4.65107305526e-26,1.92177322639e-10
0.37,0.0,0.231762745781,0.143353806389,4.55406077487e-10,-1.09077563581e-25,6.81734772392e-26,2.81685455704e-10
0.38,0.0,0.231762745781,0.143353806389,5.46515156458e-10,-1.30899749854e-25,8.18123438211e-26,3.38039781431e-10
0.39,0.0,0.231762745781,0.143353806389,5.36965895469e-10,-1.2861251565e-25,8.03828381122e-26,3.32133211303e-10
0.4,0.0,0.231762745781,0.143353806389,4.31948827141e-10,-1.03457268323e-25,6.4662057342e-26,2.67176281189e-10
0.41,0.0,0.231762745781,0.143353806389,2.84484755326e-10,-6.80112664845e-26,4.25896366091e-26,1.75964313843e-10
0.42,0.0,0.231762745781,0.143353806389,1.5340050953e-10,-2.96453233003e-26,2.29380770334e-26,9.48838730276e-11
0.43,0.0,0.231762745781,0.143353806389,6.77229252701e-11,3.06652956424e-25,7.79933262796e-28,4.18891271096e-11
0.44,0.0,0.231762745781,0.143353806389,2.44785517452e-11,1.20208899553e-23,-6.49931676132e-25,1.51408870988e-11
0.45,0.0,0.231762745776,0.14335380639,7.24397317865e-12,3.6677783528e-22,-2.92339173987e-23,4.48066459075e-12
0.46,0.0,0.231762745261,0.143353806501,1.75512904963e-12,9.1580490917e-21,-9.62219526411e-22,1.08561204528e-12
0.47,0.0,0.231762689034,0.143353822242,3.48163062652e-13,1.87215559582e-19,-2.44184697292e-20,2.15351569801e-13
0.48,0.0,0.23175657256,0.143355888188,5.65496499171e-14,3.1334444329e-18,-4.88163098755e-19,3.49760484619e-14
0.49,0.0,0.231099387687,0.143612056329,7.57796494241e-15,4.29381331233e-17,-7.77835947009e-18,4.66140173057e-15
0.5,0.0,0.195542583297,0.159160754356,1.48160416187e-15,4.81731918153e-16,-9.94844932111e-17,6.43236389847e-16
0.51,0.0,0.156640386503,0.179354518178,6.16338741759e-15,4.42495430453e-15,-1.02603951406e-15,1.45735088201e-15
0.52,0.0,0.152464871248,0.184454840843,4.58081446925e-14,3.32776968909e-14,-8.56026283903e-15,1.17854843049e-14
0.53,0.0,0.149002574257,0.189213946878,2.82018946499e-13,2.0489852721e-13,-5.7904066686e-14,7.96983072749e-14
0.54,0.0,0.145547584468,0.193969270862,1.42168859512e-12,1.03291721463e-12,-3.18097446039e-13,4.37823583301e-13
0.55,0.0,0.142092668684,0.198724553887,5.86775884954e-12,4.26317634782e-12,-1.42100944096e-12,1.95585170375e-12
0.56,0.0,0.138637753648,0.203479836473,1.98281019379e-11,1.44059593075e-11,-5.16717654176e-12,7.11200837198e-12
0.57,0.0,0.13518283862,0.208235119055,5.48568836819e-11,3.98558589487e-11,-1.53064343274e-11,2.10674994752e-11
0.58,0.0,0.131727923592,0.212990401636,1.24257389569e-10,9.02782779409e-11,-3.69604940018e-11,5.08717557157e-11
0.59,0.0,0.128273008564,0.217745684218,2.3043817245e-10,1.6742313236e-10,-7.27901848868e-11,1.00187094466e-10
0.6,0.0,0.124818093536,0.222500966799,3.49886932269e-10,2.54207736286e-10,-1.16968426462e-10,1.60993227448e-10
0.61,0.0,0.121363178507,0.227256249381,4.34952795547e-10,3.1601170364e-10,-1.5342077545e-10,2.11165581554e-10
0.62,0.0,0.117908263479,0.232011531962,4.42687882259e-10,3.21631573094e-10,-1.64306231803e-10,2.26148126874e-10
0.63,0.0,0.114453348451,0.236766814544,3.68887760254e-10,2.68012645885e-10,-1.43712083647e-10,1.97802713685e-10
0.64,0.0,0.110998433423,0.241522097125,2.5167029637e-10,1.82849173348e-10,-1.02683583644e-10,1.41331828056e-10
0.65,0.0,0.107543518395,0.246277379707,1.40575869749e-10,1.02134347784e-10,-5.99464103666e-11,8.25091554257e-11
0.66,0.0,0.104088603367,0.251032662288,6.42881164015e-11,4.67080506111e-11,-2.85992617385e-11,3.93635067957e-11
0.67,0.0,0.100633688339,0.25578794487,2.40708666651e-11,1.74885083181e-11,-1.1151719497e-11,1.53490250978e-11
0.68,0.0,0.0971787733106,0.260543227451,7.3789379204e-12,5.36111221068e-12,-3.55453186472e-12,4.89239339435e-12
0.69,0.0,0.0937238582824,0.265298510033,1.85198339992e-12,1.3455447012e-12,-9.26249908104e-13,1.27487362735e-12
0.7,0.0,0.0902689432543,0.270053792614,3.80558499657e-13,2.76491934395e-13,-1.97344560401e-13,2.7162148504e-13
0.71,0.0,0.0868140282262,0.274809075196,6.40245989092e-14,4.6516593946e-14,-3.43806877792e-14,4.73209570726e-14
0.72,0.0,0.0833591131981,0.279564357777,8.81887953659e-15,6.40729103269e-15,-4.89816498955e-15,6.7417457351e-15
0.73,0.0,0.0799041981699,0.284319640359,9.94537258429e-16,7.22573613934e-16,-5.70709513443e-16,7.85514256143e-16
0.74,0.0,0.0764492831418,0.28907492294,9.1826875837e-17,6.67161305094e-17,-5.43863487389e-17,7.48563871246e-17
0.75,0.0,0.0729943681137,0.293830205521,6.94160126478e-18,5.04336853132e-18,-4.23921300867e-18,5.83477614216e-18
0.76,0.0,0.0695394530856,0.298585488103,4.29626065181e-19,3.12141607493e-19,-2.70287603293e-19,3.720189705e-19
