x,y,motor1,motor2,V1,V2,A1,A2
0.35,0.35,0.15,0.1,0.0,5.7250371611e-21,8.58755574165e-21,0.0
0.36,0.35,0.14,0.1,0.0,1.04047657611e-19,1.45666720656e-19,0.0
0.37,0.35,0.13,0.1,0.0,1.54820123186e-18,2.01266160141e-18,0.0
0.38,0.35,0.12,0.1,0.0,1.88609521571e-17,2.26331425885e-17,0.0
0.39,0.35,0.11,0.1,0.0,1.88122578086e-16,2.06934835895e-16,0.0
0.4,0.35,0.1,0.1,0.0,1.53624093704e-15,1.53624093704e-15,0.0
0.41,0.35,0.09,0.1,0.0,1.0271144743e-14,9.24403026866e-15,0.0
0.42,0.35,0.08,0.1,0.0,5.62237059758e-14,4.49789647806e-14,0.0
0.43,0.35,0.07,0.1,0.0,2.51977168565e-13,1.76384017996e-13,0.0
0.44,0.35,0.06,0.1,0.0,9.24578984929e-13,5.54747390958e-13,0.0
0.45,0.35,0.05,0.1,0.0,2.77758877295e-12,1.38879438648e-12,0.0
0.46,0.35,0.04,0.1,0.0,6.83176598733e-12,2.73270639493e-12,0.0
0.47,0.35,0.03,0.1,0.0,1.37574872533e-11,4.127246176e-12,0.0
0.48,0.35,0.02,0.1,0.0,2.26822618649e-11,4.53645237299e-12,0.0
0.49,0.35,0.01,0.1,0.0,3.06178509529e-11,3.06178509529e-12,0.0
0.5,0.35,-1.11022302463e-16,0.1,0.0,3.38379584466e-11,-3.75676805737e-26,0.0
0.51,0.35,-0.01,0.1,0.0,3.06178509529e-11,-3.06178509529e-12,0.0
0.52,0.35,-0.02,0.1,0.0,2.26822618649e-11,-4.53645237299e-12,0.0
0.53,0.35,-0.03,0.1,0.0,1.37574872533e-11,-4.127246176e-12,0.0
0.54,0.35,-0.04,0.1,0.0,6.83176598733e-12,-2.73270639493e-12,0.0
0.55,0.35,-0.05,0.1,0.0,2.77758877295e-12,-1.38879438648e-12,0.0
0.56,0.35,-0.06,0.1,0.0,9.24578984929e-13,-5.54747390958e-13,0.0
